"Name","Degree","Annotation"
"motif_69","5","None"
"motif_234","5","None"
"motif_146","5","None"
"motif_32","5","None"
"motif_155","5","None"
"motif_84","4","None"
"motif_189","4","None"
"motif_277","4","None"
"motif_62","4","None"
"motif_66","4","None"
"motif_205","4","None"
"motif_34","4","None"
"motif_282","3","None"
"motif_179","3","None"
"motif_79","3","None"
"motif_207","3","None"
"motif_131","3","None"
"motif_235","3","None"
"motif_149","3","None"
"motif_101","3","None"
"motif_38","3","None"
"motif_99","3","None"
"motif_194","2","None"
"motif_259","2","None"
"motif_243","2","None"
"motif_278","2","None"
"motif_150","2","None"
"motif_191","2","None"
"motif_54","2","None"
"motif_230","2","None"
"motif_140","2","None"
"motif_170","2","None"
"motif_21","2","None"
"motif_270","1","None"
"motif_103","1","None"
"motif_74","1","None"
"motif_3","1","None"
"motif_97","1","None"
"motif_132","1","None"
"motif_20","1","None"
"motif_253","0","None"
"motif_256","0","None"
"motif_19","0","None"
"motif_174","0","None"
"motif_173","0","None"
"motif_114","0","None"
"motif_274","0","None"
"motif_5","0","None"
"motif_75","0","None"
"motif_156","0","None"
"motif_67","0","None"
"motif_4","0","None"
"motif_57","0","None"
"motif_289","0","None"
"motif_130","0","None"
"motif_43","0","None"
"motif_124","0","None"
"motif_142","0","None"
